person,personLabel,Property0Label,Property1Label,Property2Label,Property3Label,Property4Label,Property5Label,Property6Label,Property7Label,Property8Label,Property9Label,Property10Label,Property11Label,Property12Label,Property13Label,Property614Label,Property15Label,Property16Label,Property17Label,Property18Label,Property19Label,Property20Label,Property21Label,Property22Label,Property23Label,Property24Label,Property25Label,Property26Label
http://www.wikidata.org/entity/Q2567,Richard von Weizsäcker,New Palace,male,Germany,Governing Mayor of Berlin,,,University of Göttingen,,Christian Democratic Union,German,lawyer,,,Lutheranism,,,,doctorate,Berlin,1920-04-15T00:00:00Z,2015-01-31T00:00:00Z,,World War II,,von Weizsäcker,Richard,
http://www.wikidata.org/entity/Q2567,Richard von Weizsäcker,New Palace,male,Germany,member of the German Bundestag,,,University of Göttingen,,Christian Democratic Union,German,lawyer,,,Lutheranism,,,,doctorate,Berlin,1920-04-15T00:00:00Z,2015-01-31T00:00:00Z,,World War II,,von Weizsäcker,Richard,
http://www.wikidata.org/entity/Q2567,Richard von Weizsäcker,New Palace,male,Germany,Member of the Abgeordnetenhaus of Berlin,,,University of Göttingen,,Christian Democratic Union,German,lawyer,,,Lutheranism,,,,doctorate,Berlin,1920-04-15T00:00:00Z,2015-01-31T00:00:00Z,,World War II,,von Weizsäcker,Richard,
http://www.wikidata.org/entity/Q2567,Richard von Weizsäcker,New Palace,male,Germany,president of Germany,,,Balliol College,,Christian Democratic Union,German,lawyer,,,Lutheranism,,,,doctorate,Berlin,1920-04-15T00:00:00Z,2015-01-31T00:00:00Z,,World War II,,von Weizsäcker,Richard,
http://www.wikidata.org/entity/Q2567,Richard von Weizsäcker,New Palace,male,Germany,Governing Mayor of Berlin,,,Balliol College,,Christian Democratic Union,German,lawyer,,,Lutheranism,,,,doctorate,Berlin,1920-04-15T00:00:00Z,2015-01-31T00:00:00Z,,World War II,,von Weizsäcker,Richard,
http://www.wikidata.org/entity/Q2567,Richard von Weizsäcker,New Palace,male,Germany,member of the German Bundestag,,,Balliol College,,Christian Democratic Union,German,lawyer,,,Lutheranism,,,,doctorate,Berlin,1920-04-15T00:00:00Z,2015-01-31T00:00:00Z,,World War II,,von Weizsäcker,Richard,
http://www.wikidata.org/entity/Q2567,Richard von Weizsäcker,New Palace,male,Germany,Member of the Abgeordnetenhaus of Berlin,,,Balliol College,,Christian Democratic Union,German,lawyer,,,Lutheranism,,,,doctorate,Berlin,1920-04-15T00:00:00Z,2015-01-31T00:00:00Z,,World War II,,von Weizsäcker,Richard,
http://www.wikidata.org/entity/Q2567,Richard von Weizsäcker,New Palace,male,Germany,president of Germany,,,University of Oxford,,Christian Democratic Union,German,military personnel,,,Lutheranism,,,,doctorate,Berlin,1920-04-15T00:00:00Z,2015-01-31T00:00:00Z,,World War II,,von Weizsäcker,Richard,
http://www.wikidata.org/entity/Q2567,Richard von Weizsäcker,New Palace,male,Germany,Governing Mayor of Berlin,,,University of Oxford,,Christian Democratic Union,German,military personnel,,,Lutheranism,,,,doctorate,Berlin,1920-04-15T00:00:00Z,2015-01-31T00:00:00Z,,World War II,,von Weizsäcker,Richard,
http://www.wikidata.org/entity/Q2567,Richard von Weizsäcker,New Palace,male,Germany,member of the German Bundestag,,,University of Oxford,,Christian Democratic Union,German,military personnel,,,Lutheranism,,,,doctorate,Berlin,1920-04-15T00:00:00Z,2015-01-31T00:00:00Z,,World War II,,von Weizsäcker,Richard,
